haltestelle;gps_x;gps_y;anfragen_durchschnittsmonat
Frankfurt (Main) Hauptbahnhof Südseite;8.662997;50.10535;4700
Frankfurt (Main) Ginnheim/Niddapark;8.642145;50.143817;4700
Frankfurt (Main) Rotdornweg;8.669797;50.165983;4700
Frankfurt (Main) Theodor-Storm-Straße;8.6595;50.146602;4700
Frankfurt (Main) Speyerer Straße;8.650977;50.10554;4700
Frankfurt (Main) Bürgeler Straße;8.770646;50.117529;4600
Frankfurt (Main) Wasgaustraße;8.534971;50.108285;4600
Frankfurt (Main) Annabergstraße;8.502518;50.092094;4600
Frankfurt (Main) Flughafen Tor 3;8.578052;50.052871;4600
Frankfurt (Main) Praunheimer Brücke;8.623337;50.148074;4600
Frankfurt (Main) Hufeland-Haus;8.720613;50.139362;4600
Frankfurt (Main) Im Uhrig;8.655709;50.166085;4500
Frankfurt (Main) Heilbronner Straße;8.654076;50.101776;4500
Frankfurt (Main) Industriepark Höchst Tor H831;8.55262;50.090306;4500
Dreieich-Offenthal Bahnhof;8.749541;49.982142;4500
Frankfurt (Main) Ludwig-Erhard-Anlage;8.649957;50.114143;4500
Oberursel (Taunus) Rosengärtchen;8.54918;50.21512;4500
Frankfurt (Main) Riedbad;8.762655;50.151672;4500
Frankfurt (Main) Riederhöfe;8.727893;50.116947;4500
Ginsheim-Gustavsburg Mainz-Gustavsburg Bf;8.314533;49.994593;4400
Frankfurt (Main) Friedhof Westhausen;8.612408;50.139221;4400
Walluf-Niederwalluf Bahnhof;8.158946;50.03709;4400
Frankfurt (Main) Griesheim Bf/Eichenstraße;8.606684;50.095812;4400
Wehrheim Bahnhof;8.5672;50.296424;4400
Frankfurt (Main) Berkersheim Mitte;8.696737;50.170374;4400
Kahl (Main);9.005275;50.076679;4400
Frankfurt (Main) Atzelberg West;8.719261;50.14058;4400
Frankfurt (Main) Klinikum Höchst;8.543425;50.107181;4300
Frankfurt (Main) Rhonestraße;8.624868;50.081913;4300
Heidelberg, Hauptbahnhof;8.675055;49.403729;4300
Riedstadt-Wolfskehlen Bahnhof;8.493095;49.854599;4300
Rüsselsheim Opelwerk Bahnhof;8.400594;49.988209;4300
Frankfurt (Main) Martinskirchstraße;8.588836;50.085131;4300
Frankfurt (Main) Ernst-May-Platz;8.716156;50.126167;4300
Frankfurt (Main) Den Haager Straße;8.65096;50.10888;4300
Frankfurt (Main) Waldschmidtstraße;8.701676;50.118213;4200
Schöneck-Büdesheim Schöneck-Büdesheim Bahnhof;8.843786;50.214299;4200
Neu-Isenburg Isenburgzentrum Süd;8.69663;50.048089;4200
Frankfurt (Main) Zeilsheim Kolonie;8.496049;50.093963;4200
Koblenz Hauptbahnhof;7.589338;50.350231;4200
Frankfurt (Main) Hagebuttenweg;8.677263;50.167145;4200
Frankfurt (Main) Schneidhainer Straße;8.629642;50.105276;4200
Frankfurt (Main) G.-Hauptmann-Ring/Praunheimer Weg;8.619489;50.160507;4200
Offenbach (Main)-Zentrum Rathaus;8.761152;50.106398;4200
Offenbach (Main)-Bieber Bieber Waldhof;8.828407;50.082153;4200
Frankfurt (Main) Brauerei;8.690896;50.094235;4100
Frankfurt (Main) Nied Bahnhof/Friedhof;8.571111;50.103255;4100
Frankfurt (Main) Henriette-Fürth-Straße;8.592159;50.086204;4100
Bad Vilbel Berliner Straße;8.73217;50.172463;4100
Frankfurt (Main) Postsiedlung;8.623658;50.11877;4100
Kirchhain Bahnhof;8.92273;50.823879;4100
Groß-Gerau Dornheim Bahnhof;8.493691;49.877474;4100
Frankfurt (Main) Ludwig-Erhard-Schule;8.534957;50.110429;4100
Offenbach (Main)-Zentrum Marktplatz/Frankf. Straße;8.764442;50.10507;4100
Frankfurt (Main) Wolf-Heidenheim-Straße;8.600156;50.127718;4100
Frankfurt (Main) Hauptbahnhof/Münchener Straße;8.666225;50.106956;4100
Frankfurt (Main) Affentorplatz;8.689893;50.104598;4100
Frankfurt (Main) Daimlerstraße;8.740087;50.122421;4100
Frankfurt (Main) Bertramstraße;8.677162;50.132182;4000
Idstein-Wörsdorf Bahnhof;8.249298;50.24486;4000
Frankfurt (Main) Unfallklinik/B3;8.706352;50.145844;4000
Geisenheim Bahnhof;7.968399;49.98547;4000
Frankfurt (Main) Niederbornstraße;8.679326;50.152739;4000
Herborn Bahnhof;8.308277;50.684587;4000
Frankfurt (Main) Auerstraße;8.552888;50.105807;4000
Groß-Umstadt-Wiebelsbach Bahnhof;8.94107;49.833316;4000
Frankfurt (Main) Freiligrathstraße;8.710097;50.122141;4000
Frankfurt (Main) Radilostraße;8.610722;50.125083;3900
Frankfurt (Main) Kriegkstraße;8.639785;50.101254;3900
Frankfurt (Main) Henninger-Turm;8.693562;50.098027;3900
Frankfurt (Main) Rangenbergstraße/Riedschule;8.759425;50.149786;3900
Frankfurt (Main) Valentina-Archipowa-Straße;8.627482;50.121506;3900
Frankfurt (Main) Rathaus Harheim;8.692565;50.182973;3900
Frankfurt (Main) Gustavsburgplatz;8.630544;50.100595;3900
Frankfurt (Main) Steinauer Straße;8.757705;50.133014;3900
Groß-Umstadt Mitte Bahnhof;8.924893;49.864743;3900
Frankfurt (Main) Windthorststraße;8.549083;50.110611;3800
Münster (Hessen) Bahnhof;8.853554;49.923204;3800
Dreieich-Dreieichenhain Bahnhof;8.708678;49.99847;3800
Frankfurt (Main) Höchst Bahnhof Nordseite;8.542114;50.104668;3800
Bad Vilbel-Gronau Bahnhof;8.78196;50.19275;3800
Rüdesheim (Rhein) Bahnhof;7.915757;49.977192;3800
Frankfurt (Main) Kirchgasse;8.74693;50.153882;3700
Frankfurt (Main) Weilbrunnstraße;8.691342;50.154431;3700
Frankfurt (Main) IP Höchst Tor K801;8.551183;50.084772;3700
Frankfurt (Main) Bornheim Sportcenter;8.716783;50.132551;3700
Friedrichsdorf-Köppern Bahnhof;8.647924;50.269546;3600
Frankfurt (Main) Börneplatz/Stoltzestraße;8.689069;50.112586;3600
Frankfurt (Main) Guerickestraße;8.599015;50.135369;3600
Frankfurt (Main) Hofheimer Straße;8.489623;50.097019;3600
Limburg (Lahn)-Eschhofen Bahnhof;8.104447;50.393505;3600
Frankfurt (Main) Rabenkopfweg;8.510091;50.096999;3600
Frankfurt (Main) Tannenkopfweg;8.604806;50.086063;3500
Fulda Bahnhof/ZOB;9.684274;50.553801;3500
Selters (Taunus)-Niederselters Bahnhof;8.229984;50.332877;3500
Frankfurt (Main) Schule Kalbach;8.642429;50.188326;3500
Frankfurt (Main) Florianweg;8.75375;50.14861;3500
Frankfurt (Main) Fallerslebenstraße;8.664473;50.138646;3500
Frankfurt (Main) Karl-Wessendorft-Straße;8.761259;50.156663;3500
Frankfurt (Main) Ben-Gurion-Ring Nord;8.661848;50.191659;3500
Gelnhausen-Hailer Bahnhof;9.150767;50.189638;3500
Frankfurt (Main) Baumertstraße;8.768456;50.125198;3500
Frankfurt (Main) Atzelberg Ost;8.722818;50.142279;3400
Hasselroth-Niedermittlau Bahnhof;9.109346;50.178454;3400
Frankfurt (Main) Wilhelm-Fay-Straße;8.588341;50.123609;3400
Frankfurt (Main) Grüneburgpark;8.66167;50.131518;3400
Glauburg-Stockheim Glauburg-Stockheim Bahnhof;9.010332;50.326708;3400
Bad Homburg v.d.H. Kurhaus;8.616257;50.226997;3400
Frankfurt (Main) Gateway Gardens Mitte;8.595712;50.054993;3400
Frankfurt (Main) Krankenhaus Nordwest;8.620377;50.150845;3400
Frankfurt (Main) Mithrasstraße;8.63048;50.152545;3400
Frankfurt (Main) Lokalbahnhof/Hedderichstraße;8.690722;50.101715;3400
Frankfurt (Main) Paul-Hindemith-Schule;8.6349;50.105801;3300
Frankfurt (Main) Goldsteinstraße;8.620833;50.084179;3300
Königstein (Taunus) Stadtmitte;8.467253;50.18289;3300
Frankfurt (Main) Am Eschbachtal;8.696105;50.184412;3300
Frankfurt (Main) Wertheimer Straße;8.69599;50.095399;3300
Frankfurt (Main) Nied Brücke;8.564873;50.100305;3200
Frankfurt (Main) Brigitte-Frauendorf-Straße;8.632434;50.122992;3200
Frankfurt (Main) Niedereschbacher Straße;8.706997;50.205612;3200
Frankfurt (Main) Hohenstaufenstraße;8.657747;50.110817;3200
Frankfurt (Main) Am Weißkirchener Berg;8.634449;50.188079;3200
Frankfurt (Main) Karmeliterkloster;8.678046;50.110277;3200
Neu-Isenburg Am Trieb;8.706135;50.048531;3200
Neuhof Bahnhof;9.620187;50.454543;3100
Frankfurt (Main) Ludwig-Scriba-Straße;8.556176;50.102457;3100
Frankfurt (Main) Flughafen Lufthansabasis;8.561266;50.049302;3100
Frankfurt (Main) Am Alten Schloß;8.626151;50.151493;3100
Frankfurt (Main) Bremer Straße;8.671097;50.126986;3100
Frankfurt (Main) Weißkirchener Weg;8.617926;50.166992;3100
Frankfurt (Main) Walter-Kolb-Schule;8.542848;50.113477;3100
Frankfurt (Main) Philipp-Reis-Straße;8.635784;50.114677;3000
Linden-Großen-Linden Bahnhof;8.661847;50.528064;3000
Nidderau-Heldenbergen Nidderau Bahnhof;8.879951;50.230916;3000
Frankfurt (Main) Schwalbenweg;8.63189;50.188542;3000
Höchst (Odw.) Bahnhof;8.988893;49.795358;3000
Frankfurt (Main) Richard-Wagner-Straße;8.688228;50.130715;2900
Frankfurt (Main) Am Römerbrunnen;8.698211;50.186881;2900
Frankfurt (Main) Kreuzstraße;8.690976;50.152448;2900
Frankfurt (Main) Ellerfeld;8.625312;50.135236;2900
Frankfurt (Main) Hainer Weg;8.698378;50.084482;2900
Frankfurt (Main) Industriepark Höchst Tor West;8.514257;50.08626;2900
Frankfurt (Main) Industriepark Höchst Tor Ost;8.537906;50.097423;2900
Frankfurt (Main) Hohe Brück;8.707827;50.200045;2900
Frankfurt (Main) Morgenzeile;8.617545;50.084739;2900
Frankfurt (Main) Friedhof Sossenheim;8.5655;50.125547;2800
Steinbach (Taunus) Freier Platz;8.572005;50.16766;2800
Altenstadt-Höchst Bahnhof;8.923458;50.269758;2800
Frankfurt (Main) Flughafen Tor 23;8.551696;50.047;2800
Frankfurt (Main) August-Schanz-Straße;8.684074;50.162655;2800
Frankfurt (Main) Münzenberger Straße;8.695197;50.132727;2800
Frankfurt (Main) Zanderstraße;8.658888;50.100184;2800
Lollar Bahnhof;8.701572;50.648185;2800
Langgöns Bahnhof;8.666607;50.497689;2800
Frankfurt (Main) Schwarzbachmühle;8.60422;50.082465;2800
Frankfurt (Main) Kurmarkstraße;8.703217;50.203886;2800
Frankfurt (Main) Ostbahnhof/Danziger Platz;8.707842;50.113613;2800
Dillenburg Bahnhof;8.29459;50.734909;2800
Frankfurt (Main) Industriepark Höchst Tor Süd;8.544406;50.081095;2700
Frankfurt (Main) Jahrhunderthalle;8.519885;50.097363;2700
Frankfurt (Main) Stadion Straßenbahn;8.653216;50.075114;2700
Frankfurt (Main) Friedrich-Ebert-Siedlung;8.624683;50.094899;2700
Frankfurt (Main) Fuldaer Straße;8.761201;50.133198;2700
Frankfurt (Main) Staustufe Griesheim;8.600445;50.091312;2700
Ingelheim, Bahnhof;8.054045;49.976152;2700
Frankfurt (Main) Am Hessen-Center;8.753838;50.141018;2700
Frankfurt (Main) Heinrich-Hardt-Straße;8.602562;50.103187;2700
Frankfurt (Main) Graebestraße/Pflegeheim;8.6223;50.150964;2700
Frankfurt (Main) Langenselbolder Straße;8.753224;50.132687;2700
Dreieich-Götzenhain Bahnhof;8.729914;49.994543;2700
Frankfurt (Main) Pfingstbornstraße;8.515253;50.084025;2700
Hattersheim (Main) Bahnhof Süd;8.48981;50.067586;2700
Frankfurt (Main) Gewerbegebiet Nieder-Eschbach;8.655895;50.194738;2700
Frankfurt (Main) Allerheiligentor;8.693765;50.113293;2700
Frankfurt (Main) Heister-/Seehofstraße;8.696867;50.103651;2700
Oestrich-Winkel Bahnhof;8.020847;50.002953;2600
Frankfurt (Main) Johann-Beyer-Weg;8.625336;50.182363;2600
Frankfurt (Main) Adlerflychtplatz;8.68146;50.124134;2600
Würzburg Hbf;9.935979;49.802127;2600
Köln Hbf;6.958506;50.943242;2600
Frankfurt (Main) Burgstraße;8.704811;50.127604;2600
Frankfurt (Main) Schöne Aussicht;8.687887;50.109898;2600
Bad Vilbel Iglauer Weg;8.726217;50.166898;2600
Rosbach v.d. Höhe Bahnhof;8.700626;50.298414;2600
Kassel Bahnhof Wilhelmshöhe;9.447395;51.312756;2600
Frankfurt (Main) Mainberg;8.549663;50.100067;2600
Frankfurt (Main) Im Niederfeld;8.684243;50.183841;2600
Weiterstadt Bahnhof;8.579298;49.910065;2600
Frankfurt (Main) Roßkopfstraße;8.628871;50.162596;2600
Bruchköbel Bahnhof;8.919947;50.186303;2600
Frankfurt (Main) Hynspergstraße;8.68187;50.127812;2500
Frankfurt (Main) Otto-Hahn-Schule;8.66771;50.201614;2500
Frankfurt (Main) Tempelhof;8.699436;50.189046;2500
Darmstadt Schloss;8.65551;49.872911;2500
Flieden Bahnhof;9.576285;50.421323;2500
Frankfurt (Main) Unterliederbach West;8.52733;50.111271;2500
Eppertshausen Bahnhof;8.84258;49.945082;2500
Frankfurt (Main) Neufeld;8.59845;50.110971;2500
Gernsheim Bahnhof;8.489894;49.753629;2500
Schwalbach (Taunus) Nord;8.534605;50.159793;2500
Frankfurt (Main) Schönbornstraße;8.652262;50.141642;2500
Marburg Südbahnhof;8.76267;50.794513;2500
Königstein (Taunus)-Schneidhain Bahnhof;8.452184;50.172785;2400
Offenbach (Main)-Zentrum Marktplatz/Berliner Str;8.765687;50.105412;2400
Hanau-Großauheim Bahnhof;8.944097;50.10693;2400
Frankfurt (Main) Oberfeldstraße;8.622666;50.154305;2400
Frankfurt (Main) Südbahnhof/Schweizer Straße;8.683726;50.098046;2400
Neu-Isenburg-Zeppelinheim Bahnhof;8.605275;50.036141;2400
Frankfurt (Main) Hugo-Eckener-Ring;8.585811;50.053137;2400
Michelstadt Bahnhof;9.001766;49.685029;2400
Maintal-Dörnigheim Süd;8.831335;50.13355;2400
Großkrotzenburg Bahnhof;8.983231;50.087514;2400
Frankfurt (Main) Anne-Frank-Siedlung;8.659723;50.160501;2400
Bad König Bahnhof;9.001528;49.738894;2300
Frankfurt (Main) Wasserpark;8.696501;50.135589;2300
Frankfurt (Main) Kurfürstenplatz;8.640409;50.12089;2300
Frankfurt (Main) Emmerich-Josef-Straße;8.548348;50.101752;2300
Neu-Isenburg Bahnhof Westseite;8.664395;50.052765;2300
Darmstadt TU-Lichtwiese Bahnhof;8.687655;49.860877;2300
Frankfurt (Main) Vilbeler Landstraße;8.742815;50.15163;2300
Kleinostheim;9.072159;50.002758;2300
Frankfurt (Main) Halmstraße;8.642235;50.096038;2300
Frankfurt (Main) Auf dem Schafberg;8.611732;50.090986;2300
Frankfurt (Main) Schweinfurter Weg;8.696291;50.093018;2300
Frankfurt (Main) Max-Horkheimer-Straße;8.669853;50.129249;2300
Frankfurt (Main) Unfallklinik;8.705988;50.144746;2300
Frankfurt (Main) Hofgut;8.611472;50.146514;2300
Frankfurt (Main) Max-Eyth-Straße;8.76213;50.124249;2300
Frankfurt (Main) Stadion Osttribüne;8.651664;50.068903;2300
Frankfurt (Main) Weser-/Münchener Straße;8.670342;50.107979;2300
Rodgau-Nieder-Roden Rollwald Bahnhof;8.845831;49.988304;2300
Frankfurt (Main) Ernst-Balser-Straße;8.616909;50.177778;2200
Frankfurt (Main) Eduard-Bernstein-Weg;8.621506;50.163813;2200
Frankfurt (Main) Zobelstraße;8.701097;50.11293;2200
Königstein (Taunus) Kreisel;8.473118;50.180438;2200
Heppenheim, Bahnhof;8.633785;49.641271;2200
Kassel Hauptbahnhof;9.489501;51.31826;2200
Rosbach v.d. Höhe-Rodheim v.d. Höhe Bahnhof;8.695932;50.267966;2200
Neu-Anspach-Hausen-Arnsbach Hausen (Ts) Bf;8.507415;50.307695;2200
Gießen Oswaldsgarten;8.669676;50.587121;2200
Frankfurt (Main) Alt-Niederursel;8.622501;50.165434;2200
Frankfurt (Main) August-Schanz-Straße/Dachsberg;8.689703;50.160068;2200
Schöneck-Oberdorfelden Bahnhof;8.823972;50.196219;2200
Bad Vilbel Elisabethenstraße;8.733821;50.17511;2200
Büdingen Bahnhof;9.10199;50.289042;2100
Frankfurt (Main) Alte Riedbergstraße;8.64657;50.185464;2100
Frankfurt (Main) Lokalbahnhof/Darmst. Ldstr.;8.690818;50.102848;2100
Frankfurt (Main) Budge-Stiftung (Lohrberg);8.737673;50.149029;2100
Frankfurt (Main) Homburger Hohl;8.661702;50.186556;2100
Neu-Isenburg Isenburgzentrum West;8.695283;50.048099;2100
Frankfurt (Main) Bremer Platz;8.670306;50.123997;2100
Frankfurt (Main) Hahnstraße;8.632526;50.084477;2100
Frankfurt (Main) Usinger Straße;8.705519;50.131165;2100
Frankfurt (Main) Hafenstraße;8.657208;50.10319;2100
Lindheim Altenstadt-Lindheim Bahnhof;8.977703;50.291168;2100
Frankfurt (Main) Freßgass/Hauptwache;8.676466;50.113983;2100
Frankfurt (Main) Mitscherlichplatz;8.665237;50.123351;2100
Frankfurt (Main) Brüningstraße;8.541878;50.0972;2100
Pfungstadt Bahnhof;8.607958;49.806164;2000
Maintal-Bischofsheim Plättenweide;8.801662;50.150545;2000
Weimar-Niederwalgern Bahnhof;8.707716;50.736495;2000
Frankfurt (Main) Pflanzländer;8.624342;50.143949;2000
Frankfurt (Main) Goetheturm;8.709721;50.089456;2000
Frankfurt (Main) Rotfeder-Ring;8.656216;50.098228;2000
Frankfurt (Main) Nied Bahnhof/Lotzstraße;8.56843;50.102125;2000
Stadtallendorf Bahnhof;9.01552;50.824995;2000
Frankfurt (Main) Palmengartenstraße;8.657231;50.119606;2000
Frankfurt (Main) Ärztehaus Am Bügel;8.664674;50.189077;2000
Frankfurt (Main) Dubliner Straße;8.645252;50.108566;2000
Frankfurt (Main) Schönberger Weg;8.615188;50.147947;2000
Frankfurt (Main) Botanischer Garten;8.654261;50.126169;2000
Frankfurt (Main) Tränkweg;8.609177;50.086338;2000
Neu-Isenburg Herzogstraße;8.702122;50.048405;2000
Eltville (Rhein)-Hattenheim Bahnhof;8.05655;50.013527;2000
Otzberg-Lengfeld Bahnhof;8.9016;49.839273;2000
Hanau-Wolfgang Bahnhof;8.955672;50.122426;2000
Stockstadt (Rhein) Bahnhof;8.472648;49.809725;2000
Frankfurt (Main) Geiselwiesen;8.624387;50.140879;1900
Frankfurt (Main) Stephensonstraße;8.642792;50.108499;1900
Offenbach (Main)-Senefelderquartier Friedrichsring;8.768041;50.095318;1900
Maintal-Dörnigheim Alter Kesselstädter Weg;8.847383;50.131891;1900
Dettingen (Main);9.036687;50.042515;1900
Frankfurt (Main) Seehofpark;8.702374;50.095757;1900
Nidda Bahnhof;8.999492;50.411162;1900
Frankfurt (Main) Nauheimer Straße;8.64415;50.116699;1900
Frankfurt (Main) Praunheimer Weg Mitte;8.620614;50.161544;1900
Bad Vilbel Altes Rathaus;8.743775;50.18397;1900
Erbach (Odw.) Bahnhof;8.990036;49.656652;1900
Steinau an der Straße Bahnhof;9.44386;50.314124;1900
Frankfurt (Main) Lyoner Straße;8.629206;50.082826;1900
Dreieich-Sprendlingen Am Hirschsprung;8.695419;50.033126;1900
Frankfurt (Main) Haigerer Straße;8.578236;50.123572;1900
Bad Homburg v.d.H. Rathaus;8.622943;50.224052;1900
Frankfurt (Main) Sachsenhäuser Warte;8.691898;50.086835;1900
Frankfurt (Main) Buchwaldstraße;8.716937;50.130177;1900
Frankfurt (Main) Hospitalplatz;8.547285;50.109246;1800
Frankfurt (Main) Katharinenkreisel;8.629785;50.115669;1800
Frankfurt (Main) In der Au;8.599416;50.122519;1800
Frankfurt (Main) Alt-Bonames;8.664026;50.18058;1800
Frankfurt (Main) An den drei Hohen;8.695234;50.158343;1800
Frankfurt (Main) Emil-von-Behring-Straße;8.637623;50.170153;1800
Karlsruhe Hauptbahnhof;8.401386;48.993349;1800
Frankfurt (Main) Peter-Bied-Straße;8.537831;50.104588;1800
Oberursel (Taunus) Waldlust;8.543684;50.215107;1800
Bad Vilbel Stadtgrenze/Schneekoppenweg;8.724285;50.164547;1800
Maintal-Bischofsheim Hochstraße;8.798965;50.147937;1800
Frankfurt (Main) Bornwiesenweg;8.680568;50.121619;1800
Zwingenberg, Bahnhof;8.609177;49.725947;1800
Frankfurt (Main) Darmstädter Landstraße Mitte;8.691018;50.096942;1800
Sulzbach (Taunus) Bahnhof;8.528226;50.130329;1800
Nauheim Bahnhof;8.44961;49.942451;1800
Frankfurt (Main) Starkenburger Straße;8.768622;50.115332;1800
Neu-Isenburg Stadtwerke;8.683185;50.048116;1800
Frankfurt (Main) Nidda-Kampfbahn;8.574392;50.104335;1700
Frankfurt (Main) Weidenbornstraße;8.709754;50.131463;1700
Weinheim, Hauptbahnhof;8.6655;49.553311;1700
Bad Homburg v.d.H. Finanzamt;8.615098;50.229982;1700
Frankfurt (Main) Nordring/Landgraben;8.748428;50.157371;1700
Frankfurt (Main) Schloßborner Straße;8.622384;50.10461;1700
Kronberg (Taunus)-Oberhöchstadt Kirche;8.542218;50.182257;1700
Frankfurt (Main) Industriepark Höchst Tor Nord;8.528367;50.098013;1700
Frankfurt (Main) Ernst-Kahn-Straße;8.634088;50.154687;1700
Frankfurt (Main) Sportanlage Harheim;8.696454;50.182418;1700
Offenbach (Main)-Zentrum Kaiserstraße;8.758582;50.105313;1700
Grävenwiesbach Bahnhof;8.457923;50.382452;1700
Frankfurt (Main) Büdinger Straße;8.684008;50.151431;1700
Frankfurt (Main) Pfortenstraße;8.769562;50.121968;1700
Frankfurt (Main) Konrad-Glatt-Straße;8.548993;50.106731;1700
Hauptbahnhof (oben);9.183002;48.784596;1700
Frankfurt (Main) Lindenhag;8.600856;50.10648;1700
Frankfurt (Main) Gundelandstraße;8.69459;50.15622;1700
Frankfurt (Main) Siemens-Werk;8.758248;50.118129;1700
Frankfurt (Main) Burgunderweg;8.53739;50.113153;1700
Frankfurt (Main) Walter-Kolb-Siedlung;8.70317;50.146716;1700
Maintal-Bischofsheim Dörnigheimer Weg;8.812002;50.146727;1600
Eltville (Rhein)-Erbach Bahnhof;8.094675;50.02325;1600
Frankfurt (Main) Eltviller Straße;8.553008;50.111668;1600
Offenbach (Main)-Lauterborn Europaplatz;8.754099;50.085931;1600
Frankfurt (Main) Heinrich-Becker-Straße;8.676994;50.201878;1600
Frankfurt (Main) Dieburger Straße;8.763633;50.11498;1600
Limburg (Lahn) Süd (ICE);8.095506;50.382051;1600
Frankfurt (Main) Alte Falterstraße;8.607083;50.091168;1600
Groß-Gerau Bahnhof;8.485396;49.924581;1600
Maintal-Bischofsheim Schillerstraße;8.80999;50.151516;1600
Frankfurt (Main) Anton-Burger-Weg;8.706717;50.089475;1600
Frankfurt (Main) Hans-Poelzig-Straße;8.617251;50.176187;1600
Frankfurt (Main) Am Grünen Graben;8.655861;50.164387;1600
Frankfurt (Main) Spitzenstraße;8.688723;50.185004;1600
Frankfurt (Main) Im Steinbügel;8.694504;50.167538;1600
Eschborn Frankfurter Straße;8.567138;50.132238;1600
Nidderau-Ostheim Bahnhof;8.903553;50.219207;1500
Offenbach (Main)-Lauterborn August-Bebel-Schule;8.754351;50.088511;1500
Frankfurt (Main) Victor-Slotosch-Straße;8.746836;50.143902;1500
Offenbach (Main)-Nordend Theater/Messehallen;8.756483;50.109539;1500
Frankfurt (Main) Emser Straße;8.642792;50.11415;1500
Darmstadt Willy-Brandt-Platz;8.650267;49.876221;1500
Frankfurt (Main) Unterliederbach Markt;8.532009;50.110726;1500
Frankfurt (Main) Eckenheimer Landstraße/Marbachweg;8.682266;50.141788;1500
Mainz, Nordbahnhof\W. & Mertz;8.246585;50.020001;1500
Frankfurt (Main) Antoninusstraße;8.640685;50.157571;1500
Frankfurt (Main) Mittelseestraße;8.766877;50.122215;1500
Bruchköbel Stadthaus;8.918997;50.178745;1500
Frankfurt (Main) Alemannenweg;8.539852;50.114674;1500
Frankfurt (Main) Paul-Apel-Straße;8.624104;50.184193;1500
Frankfurt (Main) Trift-/Frauenhofstraße;8.649181;50.086484;1500
Frankfurt (Main) Heidenfeld;8.641289;50.155406;1500
Frankfurt (Main) Seniorenwohnanlage Bügel;8.65834;50.188699;1500
Frankfurt (Main) Trieb-/Barbarossastraße;8.754624;50.145239;1500
Frankfurt (Main) Schmidtstraße;8.618143;50.103733;1500
Darmstadt Rhein-/Neckarstraße;8.644181;49.871717;1500
Frankfurt (Main) Niersteiner Straße;8.683458;50.092543;1500
Siegen Hbf;8.016252;50.875835;1500
Frankfurt (Main) Kronberger Straße;8.670652;50.120845;1500
Maintal-Bischofsheim Schulzentrum;8.815746;50.150073;1500
Frankfurt (Main) Hasselhorstweg;8.700098;50.088649;1500
Frankfurt (Main) Tucholskystraße;8.686002;50.092478;1500
Neustadt (Hessen) Bahnhof;9.120475;50.850222;1500
Alsbach-Hähnlein-Alsbach Hähnlein-Alsbach Bahnhof;8.606015;49.739741;1400
Frankfurt (Main) Schubertstraße;8.659552;50.118678;1400
Frankfurt (Main) Francois-Mitterrand-Platz;8.664185;50.110775;1400
Frankfurt (Main) Königsteiner Straße;8.537922;50.111098;1400
Frankfurt (Main) Heinrich-Lanz-Allee;8.652634;50.189707;1400
Butzbach-Ostheim Bahnhof;8.674921;50.406411;1400
Frankfurt (Main) Oberschelder Weg;8.640079;50.161925;1400
Frankfurt (Main) Friedhof Eckenheim;8.686198;50.150318;1400
Frankfurt (Main) Sossenheim Volkshaus;8.566557;50.122302;1400
Frankfurt (Main) Hadrianstraße;8.633351;50.153139;1400
Nürnberg Hbf;11.082724;49.445628;1400
Frankfurt (Main) Theodor-Fischer-Weg;8.603528;50.143579;1400
Schwalmstadt-Treysa Bahnhof;9.185631;50.910742;1400
Frankfurt (Main) Siedlung Frankfurter Berg;8.678386;50.167652;1400
Frankfurt (Main) Gateway Gardens Nord;8.596636;50.05803;1400
Heusenstamm Bastenwald;8.786336;50.058857;1400
Frankfurt (Main) Dornbusch/Am Grünhof;8.671226;50.136162;1400
S+U Berlin Hauptbahnhof;13.36946;52.525079;1400
Düsseldorf Hbf;6.794363;51.219767;1400
Bad Vilbel-Dortelweil S-Bahnhof;8.750612;50.207538;1400
Nidderau-Eichen Nidderau-Eichen Bahnhof;8.916551;50.255463;1400
Frankfurt (Main) Stadionbad;8.652918;50.072929;1400
Offenbach (Main)-Tempelsee Eberhardt-v-Rochow-Str.;8.772407;50.084756;1400
Frankfurt (Main) Scheffeleck;8.68746;50.119704;1300
Frankfurt (Main) Oberschweinstiege;8.678462;50.07053;1300
Frankfurt (Main) Platanenstraße;8.606275;50.097683;1300
Frankfurt (Main) Bernadottestraße;8.631662;50.157192;1300
Neu-Isenburg Stadthaus;8.6952;50.055611;1300
Frankfurt (Main) Ben-Gurion-Ring Süd;8.660033;50.184991;1300
Frankfurt (Main) Paquetstraße;8.661316;50.141028;1300
Frankfurt (Main) Höchster Markt;8.545622;50.100285;1300
München Hbf;11.55693;48.140311;1300
Frankfurt (Main) Leonhardsgasse;8.732136;50.143847;1300
Frankfurt (Main) Lorscher Straße;8.609418;50.125438;1300
Mörfelden-Walldorf-Walldorf Wohnpark/Gedenkstätte;8.582751;50.012444;1300
Hanau Nordbahnhof;8.925008;50.141032;1300
Neu-Isenburg Brunnenstraße;8.678347;50.048103;1300
Frankfurt (Main) Gutleut-/Heilbronner Straße;8.654659;50.100046;1300
Darmstadt Pallaswiesenstraße;8.650325;49.881027;1300
Dreieich-Sprendlingen Siedlung;8.695451;50.029112;1300
Maintal-Dörnigheim Opeleck;8.849853;50.133638;1300
Frankfurt (Main) Bonameser Hainstraße;8.664136;50.18321;1300
Biebesheim (Rhein) Bahnhof;8.474002;49.782114;1300
Griesheim Platz Bar-le-Duc;8.555238;49.85992;1300
